CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2020-01-01;1;11466859.8;259828.39;0;0;11207031.41;589783074.14;589783074.14;0;587833300;1949774.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5235156.88;4889401.04;0;345755.84;4907329.21;63323.29;0;0;0;0;0;0;109057.25;826752.45;5906462.2
00.332.266/0001-31;2020-02-01;1;9369761.04;388194.14;0;0;8981566.9;589866062.31;589866062.31;0;587833300;2032762.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5376809.54;4744133.39;0;632676.15;2471443.18;65870.09;0;0;0;0;0;0;109057.25;928493.23;3574863.75
00.332.266/0001-31;2020-03-01;1;9024162.35;260526.37;0;0;8763635.98;590108090.27;590108090.27;0;587833300;2274790.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4834471.26;3940269.42;0;894201.84;35435.35;63489.17;0;0;0;0;0;0;109057.25;522729.09;730710.86
00.332.266/0001-31;2020-04-01;1;8198781.32;169571.39;0;0;8029209.93;590186998.77;590186998.77;0;587833300;2353698.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8874223.45;6685067.75;0;2189155.7;35435.35;65454.7;0;0;0;0;0;0;109057.25;1846598.14;2056545.44
00.332.266/0001-31;2020-05-01;1;8739868.22;117348.48;0;0;8622519.74;590268657.77;590268657.77;0;587833300;2435357.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11665032.56;8267439.46;0;3397593.1;35435.35;65454.7;0;0;0;0;0;0;109057.25;3157771.39;3367718.69
00.332.266/0001-31;2020-06-01;1;7514990.4;104414;0;0;7410576.4;590470642.61;590470642.61;0;587833300;2637342.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7995569.73;3846584.63;0;4148985.1;2415839.87;65454.7;0;0;0;0;0;0;109057.25;4393936.03;6984287.85
00.332.266/0001-31;2020-07-01;1;4218414.42;184167.83;0;0;4034246.59;590767453.25;590767453.25;0;587833300;2934153.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8679350.3;3486067.62;0;5193282.68;249068.22;71521.9;0;0;0;0;0;0;109057.25;4747788.82;5177436.19
00.332.266/0001-31;2020-08-01;1;4455917.99;39984.69;0;0;4415933.3;590947210.51;590947210.51;0;587833300;3113910.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9744515.88;3894262.58;0;5850253.3;35582.51;71521.9;0;0;0;650002.6;0;0;109057.25;5069461.35;5935625.61
00.332.266/0001-31;2020-09-01;2;4985313.49;242476.78;0;0;4742836.71;591079767.37;591079767.37;0;587833300;3246467.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3915787.54;3751023.53;0;164764.01;35582.51;71521.91;0;0;0;650002.6;0;0;109057.25;1100949.61;1967113.88
00.332.266/0001-31;2020-10-01;1;3445572.05;122067.18;0;0;3323504.87;591380817.34;591380817.34;0;587833300;3547517.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4852852.01;4680294.65;0;172557.36;35582.51;71521.9;0;0;0;650002.6;0;0;109057.25;1246969.75;2113134.01
00.332.266/0001-31;2020-11-01;1;6248173.72;30765.12;0;0;6217408.6;591685762.91;591685762.91;0;587833300;3852462.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4670686.47;4501021.04;0;169665.43;35582.51;71521.9;0;0;0;650002.6;0;0;109057.25;693364.19;1559528.45
00.332.266/0001-31;2020-12-01;1;8220238.8;453866.63;0;0;7766372.17;539802500;539802500;0;539802500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5627279.41;5443863.89;0;183415.52;2800772.37;73922.31;0;0;0;650002.6;0;0;96268.89;758836.26;4379802.43
00.613.094/0001-74;2020-01-01;1;34044;34044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1501086.66;0;613624.94;887461.72;0;0;0;0;0;0;0;0;0;7262713.56;7262713.56
