CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2022-01-01;1;8979491.01;136496.32;0;0;8842994.69;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6354244.1;4683106.88;0;1671137.22;2947760.34;74934.79;0;0;0;650002.6;0;0;96268.89;3281869.11;7050835.73
00.332.266/0001-31;2022-02-01;1;8417555.59;1386560.78;0;0;7030994.81;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6286774.45;4600048.04;0;1686726.41;2052891.93;121749.16;0;0;0;650002.6;0;0;96268.89;3233989.63;6154902.21
00.332.266/0001-31;2022-03-01;2;8179576.65;682567.48;0;0;7497009.17;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6555556.96;4731460.89;0;1824096.07;2333007.63;98301.39;0;0;0;650002.6;0;0;96268.89;3212839.62;6390420.13
00.332.266/0001-31;2022-04-01;1;12164371.2;214814.35;0;0;11949556.85;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7805085.32;6061739.51;0;1743345.81;1997104.55;98364.65;0;0;0;650002.6;0;0;96268.89;8419393.63;11261134.32
00.332.266/0001-31;2022-05-01;1;8502627.69;630239.06;0;0;7872388.63;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7160404.48;5319114.17;0;1841290.31;2137210;98326.46;0;0;0;650002.6;0;0;96268.89;4153647.92;7135455.87
00.332.266/0001-31;2022-06-01;1;8714290.88;865529.05;0;0;7848761.83;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7249470.22;5360865.67;0;1888604.55;2137315;88403.69;0;0;0;650002.6;0;0;96268.89;4053671.73;7025661.91
00.332.266/0001-31;2022-07-01;1;8051659.87;920279.39;0;0;7131380.48;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8949533.44;6932973.08;0;2016560.36;2052414.99;108540.18;0;0;0;650002.6;0;0;96268.89;3655402.05;6562628.71
00.332.266/0001-31;2022-08-01;1;8524582.99;712230.71;0;0;7812352.28;546596209.29;546596209.29;0;546596209.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6535368;4917858.51;0;1617509.49;1491751.39;108507.95;0;0;0;650002.6;0;0;96268.89;3760225.63;6106756.46
00.613.094/0001-74;2022-01-01;1;571230.03;571230.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561329.63;0;561329.63;0;0;0;0;0;0;0;0;0;;9082222.59;9082222.59
00.613.094/0001-74;2022-02-01;1;571121.93;571121.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;571618.24;0;571618.24;0;0;0;0;0;0;0;0;0;;9850625.33;9850625.33
00.613.094/0001-74;2022-03-01;1;571013.83;571013.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582069.75;0;582069.75;0;0;0;0;0;0;0;0;0;;10245318.54;10245318.54
00.613.094/0001-74;2022-04-01;1;570905.73;570905.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;589776.94;0;589776.94;0;0;0;0;0;0;0;0;0;0;10707090.28;10707090.28
00.613.094/0001-74;2022-05-01;1;570797.63;570797.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;592853.22;0;592853.22;0;0;0;0;0;0;0;0;0;0;11033725.88;11033725.88
00.613.094/0001-74;2022-06-01;1;570680.43;570680.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;595945.54;0;595945.54;0;0;0;0;0;0;0;0;0;0;11417757.37;11417757.37
00.613.094/0001-74;2022-07-01;1;570563.23;570563.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597173.79;0;597173.79;0;0;0;0;0;0;0;0;0;0;11790296.82;11790296.82
00.613.094/0001-74;2022-08-01;1;570446.03;570446.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;593003.73;0;593003.73;0;0;0;0;0;0;0;0;0;0;12113601.26;12113601.26
00.613.094/0001-74;2022-09-01;1;570328.83;570328.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;587764.97;0;587764.97;0;0;0;0;0;0;0;0;0;0;12474959.61;12474959.61
00.762.723/0001-28;2022-01-01;1;7623904.52;5821.42;0;0;7618083.1;114150000;114150000;0;114150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;916767.76;18231.37;0;898536.39;12225.65;44334.1;0;0;0;0;0;0;0;3625920.69;3682480.44
00.762.723/0001-28;2022-02-01;1;6876413.92;5841.82;0;0;6870572.1;114150000;114150000;0;114150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415198.96;18231.37;0;396967.59;15.85;44378.28;0;0;0;0;0;0;0;2934795.04;2979189.17
00.762.723/0001-28;2022-03-01;1;6886544.9;5640.68;0;0;6880904.22;114150000;114150000;0;114150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;398980.19;18231.37;0;380748.82;15.85;44348.43;0;0;0;0;0;0;0;2954635.38;2998999.66
00.762.723/0001-28;2022-04-01;1;6253629.77;5692.71;0;0;6247937.06;114150000;114150000;0;114150000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302966.27;18231.7;0;284734.57;15.85;44366.34;0;0;0;0;0;0;0;2334064.04;2378446.23
