CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
03.507.519/0001-59;2022-04-01;1;2022-04-30;2806;;;;;;;;;;;;;;;;543573074.1;541053076.95;608950;888.501645373183;0.000155;0;0.005012;0.001237;0.003775;0
03.507.519/0001-59;2022-05-01;1;2022-05-31;2791;;;;;;;;;;;;;;;;543456853.4;541116717.56;608950;888.606154134165;0.000148;0;0.003551;0.000118;0.003433;0
03.507.519/0001-59;2022-06-01;1;2022-06-30;2760;2734;20;;;;1;;;;;;4;1;;;543572947.19;541208180.95;608950;888.756352656212;0.000145;0;0.003659;0.00017;0.003489;0
03.507.519/0001-59;2022-07-01;1;2022-07-31;2728;;;;;;;;;;;;;;;;544316446.36;541097847.39;608950;888.57516608917;0.00014;0;0.004836;-0.000205;0.005041;0
03.507.519/0001-59;2022-08-01;1;2022-08-31;2702;;;;;;;;;;;;;;;;544158842.9;541066879.49;608950;888.524311503407;0.000143;0;0.004726;-5.7E-05;0.004783;0
03.683.056/0001-86;2022-01-01;1;2022-01-31;29885;;;;;;;;;;;;;;;;831168328.34;725693907.42;3690695;196.627981293496;0.000387;2E-06;0.00212;-0.000675;0.002795;0
03.683.056/0001-86;2022-02-01;1;2022-02-28;29681;;;;;;;;;;;;;;;;830434496.49;724449056.71;3690695;196.290686905854;0.000383;3E-06;0.001082;-0.001715;0.002797;0
03.683.056/0001-86;2022-03-01;1;2022-03-31;29562;29419;95;;;;2;;7;2;;;20;17;;;830212751.08;723220184.62;3690695;195.957721952098;0.00037;3E-06;0.001106;-0.001696;0.002802;0
03.683.056/0001-86;2022-04-01;1;2022-04-30;29760;;;;;;;;;;;;;;;;827177581.49;719368469.04;3690695;194.914093155896;0.000387;3E-06;-0.002264;-0.005326;0.003062;0
03.683.056/0001-86;2022-05-01;1;2022-05-31;29988;;;;;;;;;;;;;;;;828861158.66;719897351.6;3690695;195.057394772529;0.000366;3E-06;0.003813;0.000735;0.003078;0
03.683.056/0001-86;2022-06-01;1;2022-06-30;29829;29674;96;;;;2;;7;2;;;21;25;;2;828266887.31;718527709.54;3690695;194.686287959314;0.000386;3E-06;0.001788;-0.001903;0.003691;0
03.683.056/0001-86;2022-07-01;1;2022-07-31;29784;;;;;;;;;;;;;;;;828997061.66;718842771.51;3690695;194.771654528483;0.000377;3E-06;0.004136;0.000438;0.003698;0
03.683.056/0001-86;2022-08-01;1;2022-08-31;30039;;;;;;;;;;;;;;;;835200939.17;727398700.58;3690695;197.089897859346;0.000392;3E-06;0.015599;0.011902;0.003697;0
03.855.441/0001-63;2022-01-01;1;2022-01-31;2;;;;;;;;;;;;;;;;945712531.09;54249692.4;144210661;0.376183647060601;0.002517;0.000689;0.049902;0.049902;0;0
03.855.441/0001-63;2022-02-01;1;2022-02-28;2;;;;;;;;;;;;;;;;957513205.58;55603415.89;144210661;0.385570771983356;0.002456;3.4E-05;0.024954;0.024954;0;0
03.855.441/0001-63;2022-03-01;1;2022-03-31;2;;2;;;;;;;;;;;;;;973889521.76;58728983.25;144210661;0.407244394018831;0.002325;0.000811;0.056212;0.056212;0;0
03.855.441/0001-63;2022-04-01;1;2022-04-30;2;;;;;;;;;;;;;;;;993947983.94;63714123.09;144210661;0.441812849675517;0.002144;3.6E-05;0.084884;0.084884;0;0
03.855.441/0001-63;2022-05-01;1;2022-05-31;2;;;;;;;;;;;;;;;;1011610739.05;66505037.95;144210661;0.461165890849082;0.002054;8.2E-05;0.043804;0.043804;0;0
03.855.441/0001-63;2022-06-01;1;2022-06-30;2;;2;;;;;;;;;;;;;;1023075242.68;64339405.34;144210661;0.446148744439914;0.002123;3.6E-05;0.037627;-0.032563;0.07019;0
03.855.441/0001-63;2022-07-01;1;2022-07-31;2;;;;;;;;;;;;;;;;1037594941.66;72727597.46;144210661;0.504314985838668;0.001878;3.2E-05;0.130374;0.130374;0;0
03.855.441/0001-63;2022-08-01;1;2022-08-31;2;;;;;;;;;;;;;;;;1036037072.62;73841528.03;144210661;0.512039314693939;0.002036;3.1E-05;0.015316;0.015316;0;0
04.066.582/0001-60;2022-01-01;2;2022-01-31;3066;3053;13;0;0;0;0;0;0;0;0;0;0;0;0;0;61848365.78;51803192.81;200000;259.015964;0.000483;0;0.186815;-0.000111;0.186926;0
04.066.582/0001-60;2022-02-01;1;2022-02-25;3054;3041;13;0;0;0;0;0;0;0;0;0;0;0;0;0;61820333.22;51812056.21;200000;259.060281;0.000482;0;0.009594;0.000171;0.009423;0
04.066.582/0001-60;2022-03-01;1;2022-03-31;3035;3022;13;0;0;0;0;0;0;0;0;0;0;0;0;0;61741412.68;51810193.32;200000;259.050967;0.000442;0;0.00847;-3.6E-05;0.008506;0
04.066.582/0001-60;2022-04-01;1;2022-04-29;3038;3026;12;0;0;0;0;0;0;0;0;0;0;0;0;0;62238801.36;51820056.72;200000;259.100284;0.000346;0;0.009979;0.00019;0.009789;0
04.066.582/0001-60;2022-05-01;1;2022-05-31;2992;2977;13;0;0;1;0;0;0;0;0;0;0;1;0;0;62745202.07;53289521.33;200000;266.447607;0.000337;0;0.010063;0.028357;-0.018294;0
04.066.582/0001-60;2022-06-01;1;2022-06-30;2980;2968;12;0;0;0;0;0;0;0;0;0;0;0;0;0;62268397.1;52817171.17;200000;264.085856;0.000347;0;0.009837;-0.008864;0.018701;0
04.066.582/0001-60;2022-07-01;1;2022-07-29;3012;2999;13;0;0;0;0;0;0;0;0;0;0;0;0;0;61807226.71;59820322.88;200000;299.101614;0.000554;0;0.142132;0.132592;0.00954;0
04.066.582/0001-60;2022-08-01;1;2022-08-31;3067;3055;12;0;0;0;0;0;0;0;0;0;0;0;0;0;62135893.26;59962597.07;200000;299.812985;0.000333;0;0.00828;0.002378;0.005902;0
04.141.645/0001-03;2022-01-01;1;2022-01-31;20147;;;;;;;;;;;;;;;;218751616.94;216285100.83;1380670;156.652278118595;0.000215;0;0.00455;-0.000109;0.004659;0
04.141.645/0001-03;2022-02-01;1;2022-02-28;19810;;;;;;;;;;;;;;;;218670949.46;216387877.66;1380670;156.726717941289;0.000205;0;0.004752;0.000475;0.004277;0
04.141.645/0001-03;2022-03-01;1;2022-03-31;19416;19397;16;;;;;;1;;;;;2;;;219293908.87;216587068.4;1380670;156.870989012581;0.000307;0;0.005515;0.000921;0.004594;0
04.141.645/0001-03;2022-04-01;1;2022-04-30;19132;;;;;;;;;;;;;;;;219413084.24;216661402.08;1380670;156.924827858938;0.00022;0;0.005634;0.000343;0.005291;0
04.141.645/0001-03;2022-05-01;1;2022-05-31;18846;;;;;;;;;;;;;;;;219335174.51;216770187.37;1380670;157.003619525303;0.000231;0;0.0056;0.000502;0.005098;0
04.141.645/0001-03;2022-06-01;1;2022-06-30;18579;18549;29;;;;;;1;;;;;;;;219500624.46;216805060.32;1380670;157.028877515989;0.000236;0;0.005575;0.000161;0.005414;0
04.141.645/0001-03;2022-07-01;1;2022-07-31;18354;;;;;;;;;;;;;;;;219631164.87;216789960.98;1380670;157.017941274888;0.000243;0;0.005789;-7E-05;0.005859;0
04.141.645/0001-03;2022-08-01;1;2022-08-31;18020;;;;;;;;;;;;;;;;219810823.36;216972198.6;1380670;157.149933438113;0.000227;0;0.006509;0.000841;0.005668;0
04.644.612/0001-78;2022-01-01;1;2022-01-31;1;;;;;;;;1;;;;;;;;18694536.52;18662733.42;1306216.4796358;14.2876266767079;0.0007;0.000426;-0.003821;-0.003821;;
04.644.612/0001-78;2022-02-01;1;2022-02-25;1;;;;;;;;1;;;;;;;;18672637.28;18640845.42;1306216.4796358;14.2708698830667;0.0007;0.000426;-0.001173;-0.001173;;
04.644.612/0001-78;2022-03-01;1;2022-03-31;1;;;;;;;;1;;;;;;;;18651876.5;18620068.54;1306216.4796358;14.2549637294361;0.0007;0.000426;-0.001115;-0.001115;;
04.644.612/0001-78;2022-04-01;1;2022-04-29;1;;;;;;;;1;;;;;;;;18627512.91;18593047.64;1306216.4796358;14.2342773421325;0.0007;0.000426;-0.001451;-0.001451;;
04.644.612/0001-78;2022-05-01;1;2022-05-31;1;;;;;;;;1;;;;;;;;18594548.04;18562763.32;1306216.4796358;14.2110925787552;0.0007;0.000426;-0.001629;-0.001629;;
